bloom_lab_id,cohort,species,age,sex,collection_date,exposure_info
FCI_1,FCI,ferret,na,na,,innoculated with A/Massachusetts/18/2022
FCI_2,FCI,ferret,na,na,,innoculated with A/Thailand/08/2022
FCI_3,FCI,ferret,na,na,,innoculated with A/DistrictOfColumbia/27/2023
FCI_4,FCI,ferret,na,na,,innoculated with A/Croatia/10136RV/2023
FCI_5,FCI,ferret,na,na,,innoculated with A/Netherlands/10563/2023
FCI_6,FCI,ferret,na,na,,innoculated with A/Lisboa/216/2023
FCI_7,FCI,ferret,na,na,,innoculated with A/Slovenia/49/2024
FCI_8,FCI,ferret,na,na,,innoculated with A/Switzerland/47775/2024
FCI_9,FCI,ferret,na,na,,innoculated with A/Norway/12374/2023
FCI_10,FCI,ferret,na,na,,innoculated with A/BurkinaFaso/3131/2023
FCI_11,FCI,ferret,na,na,,innoculated with A/France/IDF-IPP29542/2023
FCI_12,FCI,ferret,na,na,,innoculated with A/Netherlands/10685/2024
FCI_13,FCI,ferret,na,na,,innoculated with A/Lisboa/188/2023
FCI_14,FCI,ferret,na,na,,innoculated with A/Victoria/4897/2022
FCI_15,FCI,ferret,na,na,,innoculated with IVR-238 (A/Victoria/4897/2022)
FCI_16,FCI,ferret,na,na,,innoculated with A/Wisconsin/67/2022
FCI_17,FCI,ferret,na,na,,innoculated with A/Norway/07606/2024
FCI_18,FCI,ferret,na,na,,innoculated with A/Tajikistan/02-1057/2024
